algorytm,tx_count,powtorzenie,czas_ms
sphincs,500,25,1176.2046
sphincs,500,26,1111.7972
sphincs,500,27,1181.2190
sphincs,500,28,1077.2025
sphincs,500,29,1067.9751
sphincs,500,30,1098.9360
sphincs,500,31,1077.5377
sphincs,500,32,1087.0924
sphincs,500,33,1147.4545
sphincs,500,34,1192.2471
sphincs,500,35,1144.6117
sphincs,500,36,1112.3067
sphincs,500,37,1079.1174
sphincs,500,38,1187.3237
sphincs,500,39,1113.8127
sphincs,500,40,1111.5209
sphincs,500,41,1094.0078
sphincs,500,42,1152.1656
sphincs,500,43,1137.9030
sphincs,500,44,1073.2555
sphincs,500,45,1108.8284
sphincs,500,46,1109.0268
sphincs,500,47,1365.4822
sphincs,500,48,1441.2195
sphincs,500,49,1372.6031
sphincs,1000,0,3014.9526
sphincs,1000,1,2743.6304
sphincs,1000,2,3093.8985
sphincs,1000,3,2902.4223
sphincs,1000,4,2824.7373
sphincs,1000,5,3047.9473
sphincs,1000,6,2857.1044
sphincs,1000,7,2962.9024
sphincs,1000,8,2868.6693
sphincs,1000,9,2526.3295
sphincs,1000,10,2826.0815
sphincs,1000,11,2274.1472
sphincs,1000,12,2193.2344
sphincs,1000,13,2293.5847
sphincs,1000,14,2175.7269
sphincs,1000,15,2412.3940
sphincs,1000,16,2148.9485
sphincs,1000,17,2332.2228
sphincs,1000,18,2299.0838
sphincs,1000,19,2516.3737
sphincs,1000,20,2244.2328
sphincs,1000,21,2277.3294
sphincs,1000,22,2192.4665
sphincs,1000,23,2215.7233
sphincs,1000,24,2279.8652
sphincs,1000,25,2212.3467
sphincs,1000,26,2371.5399
sphincs,1000,27,2353.7901
sphincs,1000,28,2283.3578
sphincs,1000,29,2314.5238
sphincs,1000,30,2383.2046
sphincs,1000,31,2222.9202
sphincs,1000,32,2237.5671
sphincs,1000,33,2235.4608
sphincs,1000,34,2276.2159
sphincs,1000,35,2239.2348
sphincs,1000,36,2155.9957
sphincs,1000,37,2143.4209
sphincs,1000,38,2102.8241
sphincs,1000,39,2299.7090
sphincs,1000,40,2255.2310
sphincs,1000,41,2317.3646
sphincs,1000,42,2188.1276
sphincs,1000,43,2226.2580
sphincs,1000,44,2324.2213
sphincs,1000,45,2250.0849
sphincs,1000,46,2291.3574
sphincs,1000,47,2141.5628
sphincs,1000,48,2262.8890
sphincs,1000,49,2172.0027
sphincs,1500,0,3415.5522
sphincs,1500,1,3325.3689
sphincs,1500,2,3407.5730
sphincs,1500,3,3448.3064
sphincs,1500,4,3290.0550
sphincs,1500,5,3234.7976
sphincs,1500,6,3408.4155
sphincs,1500,7,3358.1229
sphincs,1500,8,3313.9878
sphincs,1500,9,3372.4408
sphincs,1500,10,3406.6187
sphincs,1500,11,3321.1661
sphincs,1500,12,3900.2729
sphincs,1500,13,3403.0063
sphincs,1500,14,3935.8696
sphincs,1500,15,4237.5151
sphincs,1500,16,3744.9523
sphincs,1500,17,3650.0153
sphincs,1500,18,3303.3616
sphincs,1500,19,3468.1655
sphincs,1500,20,3415.1411
sphincs,1500,21,3324.6378
sphincs,1500,22,3351.6617
sphincs,1500,23,3376.4867
sphincs,1500,24,3331.8158
sphincs,1500,25,3687.5222
sphincs,1500,26,3406.4485
sphincs,1500,27,3401.0981
sphincs,1500,28,3474.7115
sphincs,1500,29,3553.4375
sphincs,1500,30,3368.7470
sphincs,1500,31,3620.9902
sphincs,1500,32,3493.4559
sphincs,1500,33,3375.7196
sphincs,1500,34,3434.9370
sphincs,1500,35,3714.8250
sphincs,1500,36,3491.9771
sphincs,1500,37,3558.4564
sphincs,1500,38,3325.8262
sphincs,1500,39,3416.5413
sphincs,1500,40,3384.3064
sphincs,1500,41,3292.4713
sphincs,1500,42,3469.0454
sphincs,1500,43,3411.5259
sphincs,1500,44,3318.1561
sphincs,1500,45,3583.1699
sphincs,1500,46,3420.1676
sphincs,1500,47,3328.1698
sphincs,1500,48,3590.3779
sphincs,1500,49,3477.9336
sphincs,2000,0,4561.3548
sphincs,2000,1,4521.3583
sphincs,2000,2,4367.7251
sphincs,2000,3,4498.7286
sphincs,2000,4,4865.4515
sphincs,2000,5,4765.9636
sphincs,2000,6,4549.3910
sphincs,2000,7,4554.8651
sphincs,2000,8,4555.6427
sphincs,2000,9,4530.2980
sphincs,2000,10,4985.0188
sphincs,2000,11,10644.8128
sphincs,2000,12,7417.8094
sphincs,2000,13,5913.2545
sphincs,2000,14,5196.1767
sphincs,2000,15,4970.5891
sphincs,2000,16,4906.0492
sphincs,2000,17,6234.5331
sphincs,2000,18,4555.5401
sphincs,2000,19,4849.1809
sphincs,2000,20,5348.3999
sphincs,2000,21,7692.7282
sphincs,2000,22,7161.4926
sphincs,2000,23,5768.1194
sphincs,2000,24,6275.6570
sphincs,2000,25,6060.5069
sphincs,2000,26,6279.6771
sphincs,2000,27,5916.0209
sphincs,2000,28,6330.0764
sphincs,2000,29,5296.4529
sphincs,2000,30,5609.8650
sphincs,2000,31,7258.3398
sphincs,2000,32,6690.4745
sphincs,2000,33,7140.2408
sphincs,2000,34,7318.2293
sphincs,2000,35,7284.8892
