> Task :simulator:compileJava
> Task :simulator:processResources NO-SOURCE
> Task :simulator:classes

> Task :simulator:run
simblock.block.ProofOfWorkBlock@9807454:0
75,0
17,140
93,244
100,280
97,348
60,385
96,385
81,426
73,459
85,489
24,491
54,494
1,523
84,524
32,531
34,566
80,596
64,597
9,599
51,618
59,629
14,630
70,636
94,643
63,666
36,674
82,685
47,701
26,701
57,705
6,709
10,723
13,733
49,736
95,746
52,756
39,778
83,808
56,808
91,809
98,837
4,852
58,874
5,886
40,908
21,913
61,918
18,944
2,956
66,975
25,976
68,978
27,1020
72,1023
50,1029
77,1062
38,1092
88,1104
90,1128
23,1144
42,1157
15,1161
11,1213
41,1248
37,1280
43,1329
30,1344
74,1357
28,1361
78,1372
48,1380
16,1381
35,1478
31,1569
44,1597
92,1603
22,1612
79,1674
99,1696
20,1699
76,1817
7,1821
69,1904
8,1943
53,2039
29,2041
67,2041
33,2044
89,2260
3,2280
62,2376
55,2489
45,2617
19,2709
46,2710
86,3033
71,3047
12,3055
65,3395
87,3448

simblock.block.ProofOfWorkBlock@394df057:1
97,0
64,609
80,714
72,745
54,821
32,851
18,865
51,886
26,931
39,960
24,964
91,970
95,993
84,995
83,1008
36,1026
61,1036
1,1068
94,1070
52,1075
59,1076
70,1099
10,1117
49,1118
5,1134
60,1139
47,1143
21,1162
23,1168
77,1173
98,1183
34,1183
17,1203
14,1225
6,1227
4,1249
2,1277
100,1294
31,1297
63,1329
96,1334
9,1358
92,1375
81,1381
93,1407
76,1414
29,1422
37,1451
56,1463
13,1491
43,1513
28,1516
48,1554
57,1569
11,1599
66,1625
40,1632
90,1650
74,1670
75,1675
45,1707
27,1709
68,1761
89,1771
73,1779
99,1786
62,1799
79,1802
53,1844
85,1883
22,1891
33,1920
30,1926
71,1964
42,1979
12,2004
78,2007
87,2037
88,2064
55,2123
25,2145
86,2192
38,2281
69,2334
41,2357
82,2371
15,2499
20,2576
7,2601
44,2718
35,2794
19,2824
58,2935
50,3017
16,3044
46,3353
8,3381
3,3685
65,3729

simblock.block.ProofOfWorkBlock@1b9ea3e3:2
70,0
59,153
100,261
13,293
47,368
34,402
77,420
56,435
72,478
1,509
95,525
84,539
80,543
85,547
5,575
24,575
73,589
97,613
18,627
2,631
91,644
83,648
52,667
9,680
93,682
49,694
51,699
94,719
54,731
75,735
60,739
64,752
96,772
63,777
57,785
6,804
44,807
32,845
88,849
14,857
10,877
39,882
7,904
36,908
98,922
23,932
4,950
29,960
82,1014
38,1024
66,1027
81,1055
89,1071
19,1073
92,1097
11,1124
16,1130
15,1130
68,1137
61,1159
90,1178
20,1231
28,1241
62,1242
26,1268
35,1289
55,1296
50,1317
31,1351
43,1352
67,1368
21,1372
71,1410
41,1452
30,1470
17,1476
40,1535
12,1575
99,1634
48,1694
76,1696
42,1758
27,1911
74,1921
25,1977
78,1980
37,2130
53,2143
79,2311
58,2355
22,2643
3,2829
33,2994
69,3022
8,3161
65,3510
86,3899

simblock.block.ProofOfWorkBlock@20011bf:3
67,0
45,407
46,828
57,857
32,995
17,1100
4,1134
15,1157
23,1209
97,1227
79,1229
14,1240
75,1247
18,1273
98,1313
36,1349
72,1354
73,1369
82,1370
10,1371
94,1379
95,1414
83,1423
91,1462
13,1475
38,1482
52,1497
80,1503
92,1506
49,1528
53,1558
96,1570
64,1579
39,1588
37,1595
81,1602
50,1621
99,1623
9,1674
85,1688
90,1731
34,1732
40,1745
31,1767
61,1780
43,1796
55,1813
20,1881
54,1884
44,1915
3,1953
24,1957
26,1958
58,1968
11,2016
62,2056
89,2109
78,2127
27,2133
68,2135
29,2186
2,2199
86,2205
35,2206
22,2288
84,2322
87,2357
69,2368
42,2419
65,2456
30,2460
8,2508
16,2537
12,2620
76,2637
5,2683
25,2784
41,2859
74,2862
33,2966
88,3081
66,3112
59,3222
28,3313
21,3475
7,3543
70,3592
19,3766
1,3837
