> Task :simulator:compileJava
> Task :simulator:processResources NO-SOURCE
> Task :simulator:classes

> Task :simulator:run
simblock.block.ProofOfWorkBlock@4769b07b:0
18,0
23,186
7,341
30,372
50,493
34,533
37,536
15,564
46,651
16,685
13,690
10,692
4,717
17,805
14,837
29,874
19,958
44,960
8,989
28,1025
31,1068
27,1081
38,1094
41,1111
45,1141
20,1191
3,1225
21,1266
12,1296
22,1448
49,1531
39,1579
43,1619
2,1619
25,1790
24,1803
47,2059
11,2070
33,2330
9,2337
32,2602
5,2715
36,2870
26,3098
35,3137
40,3478
42,3856
6,3921

simblock.block.ProofOfWorkBlock@167fdd33:1
37,0
43,190
7,346
16,379
19,499
50,533
14,570
10,573
34,653
29,694
17,723
15,726
46,729
4,808
45,849
13,876
30,912
12,963
25,1006
24,1026
18,1030
11,1065
9,1112
8,1159
21,1214
47,1232
48,1258
49,1296
23,1312
28,1343
22,1377
27,1498
31,1573
38,1578
44,1649
41,1653
33,1870
36,1925
32,1926
40,1957
20,2138
35,2204
2,2310
1,2355
3,2485
42,2518
5,2864
26,3242
6,3636
39,4078

simblock.block.ProofOfWorkBlock@1b11171f:2
10,0
50,192
16,346
21,414
14,498
7,533
46,569
12,601
41,650
23,689
18,729
37,738
30,756
25,811
22,842
34,881
45,892
4,911
8,963
13,996
43,1049
20,1105
15,1120
27,1177
24,1181
19,1201
36,1264
29,1279
40,1369
31,1449
17,1453
28,1470
32,1718
9,1724
49,1741
38,1994
33,1995
6,2136
47,2265
39,2434
3,2540
11,2813
35,3111
44,3379
48,3774
26,4152
42,4534
5,4920
2,5300
1,5697

simblock.block.ProofOfWorkBlock@40db2a24:3
42,0
2,481
1,868
20,872
35,1138
5,1145
38,1261
44,1324
33,1404
26,1418
49,1512
31,1531
39,1550
40,1620
32,1654
8,1681
41,1789
6,1803
15,1808
3,1815
50,1882
37,1959
27,2001
11,2008
28,2043
48,2142
36,2233
29,2244
24,2433
47,2448
30,2448
16,2658
14,2676
23,2858
9,2919
7,3105
45,3286
18,3468
46,3534
19,3713
17,3961
34,4016
12,4139
43,4559
21,5004

simblock.block.ProofOfWorkBlock@13c3c1e1:4
31,0
38,279
44,472
28,556
35,742
9,744
41,750
24,831
11,936
8,950
49,1004
13,1022
4,1036
3,1098
20,1127
23,1128
33,1191
16,1210
47,1211
27,1269
25,1282
46,1282
32,1286
22,1300
19,1315
7,1413
37,1446
1,1496
14,1579
34,1592
18,1601
29,1704
40,1706
12,1763
10,1860
5,1863
21,1899
6,1934
50,1982
36,2031
15,2137
17,2260
43,2418
30,2545
48,2772
45,2825
26,3127
42,3479
2,3834

simblock.block.ProofOfWorkBlock@704b2127:5
10,0
25,189
29,351
21,374
17,522
7,529
19,541
4,563
41,675
12,687
18,716
37,739
8,834
23,842
30,869
32,891
15,986
43,994
28,1065
24,1096
33,1145
22,1147
16,1156
40,1271
34,1299
50,1308
20,1331
31,1417
14,1461
46,1463
36,1596
13,1615
6,1666
27,1690
38,1729
45,1810
49,1960
47,1996
39,2248
35,2272
11,2544
9,2831
44,3098
3,3373
48,3776
42,4154
2,4537
26,4921
5,5299
1,5698

simblock.block.ProofOfWorkBlock@365553de:6
50,0
19,185
46,340
37,376
34,508
45,525
29,531
4,570
14,678
23,681
8,685
16,695
30,712
13,724
12,724
22,758
17,831
25,835
7,894
24,950
21,987
15,989
9,1047
43,1140
41,1147
36,1167
38,1203
32,1215
10,1299
27,1417
1,1444
18,1451
20,1493
5,1548
11,1717
33,1759
40,1805
26,1932
44,1985
35,2026
2,2187
3,2252
31,2293
39,2369
47,2522
48,2685
49,2792
42,3067
6,3455

simblock.block.ProofOfWorkBlock@3eabe84a:7
14,0
7,193
12,346
13,377
23,499
17,529
34,532
29,567
25,656
41,685
43,685
21,695
8,817
46,838
4,846
22,847
20,901
45,1001
30,1001
31,1062
15,1089
11,1121
37,1157
28,1168
10,1243
33,1270
16,1310
24,1327
19,1405
18,1483
42,1499
35,1537
50,1561
9,1592
47,1756
49,1831
1,1896
3,2028
38,2097
44,2295
39,2333
32,2368
27,2634
36,2919
48,3310
2,3690
5,4068
26,4457
40,4837
6,5235

simblock.block.ProofOfWorkBlock@5477a1ca:7
21,0
50,189
18,342
17,495
8,697
7,849
36,876
29,889
4,1003
20,1034
45,1052
35,1145
12,1156
13,1206
34,1313
24,1411
2,1416
37,1420
41,1468
40,1586
25,1621
9,1678
16,1708
22,1774
5,1916
10,1917
23,1945
48,2068
19,2073
46,2098
38,2222
14,2228
30,2254
43,2384
1,2461
32,2519
47,2651
31,2785
28,2916
49,3052
11,3182
27,3320
6,3587
33,3590
3,3857
44,4123
26,4501
42,4886
39,5328

simblock.block.ProofOfWorkBlock@341b13a8:8
21,0
18,191
41,344
19,380
30,511
15,534
14,579
22,663
13,686
45,709
36,721
29,733
16,784
23,817
37,842
43,901
34,973
24,986
10,997
47,1006
38,1077
50,1125
35,1263
20,1269
4,1292
5,1387
12,1444
40,1447
11,1530
25,1597
28,1665
17,1750
9,1818
2,1834
46,1903
8,2055
48,2209
44,2476
1,2603
6,3004
49,3009
27,3278
42,4490
26,4872
39,5308

simblock.block.ProofOfWorkBlock@73971965:8
24,0
3,265
28,451
11,536
33,638
38,716
20,727
32,825
36,826
35,902
9,1004
37,1005
49,1011
47,1012
27,1088
31,1191
39,1195
44,1207
13,1275
45,1289
7,1290
6,1394
8,1443
43,1471
46,1487
26,1547
4,1559
15,1568
29,1571
14,1750
23,1765
41,1850
21,1868
22,2033
12,2043
19,2129
10,2149
48,2381
40,2395
30,2407
25,2429
18,2689
50,2706
34,2975
17,2985
16,3266
1,3286
2,3622
42,3639
5,3984

simblock.block.ProofOfWorkBlock@6a1ef65c:8
31,0
44,269
38,467
35,532
20,717
4,748
11,910
34,1028
50,1192
19,1310
29,1470
41,1588
17,1747
21,1885
45,2031
30,2309
7,2590
10,2871
26,3224

simblock.block.ProofOfWorkBlock@55b5cd2b:9
22,0
4,186
7,346
34,372
21,499
37,524
14,553
19,562
16,655
30,677
18,709
43,713
46,715
10,741
29,754
25,811
13,840
45,862
50,870
23,964
12,992
15,1117
32,1133
33,1140
31,1259
17,1272
11,1291
28,1398
44,1407
24,1409
48,1411
35,1527
36,1539
3,1673
1,1802
9,1807
40,1908
20,2073
49,2351
38,2622
27,2899
47,3166
42,3544
26,3927
2,4320
39,4540
5,4707
6,5102

simblock.block.ProofOfWorkBlock@3d3a1903:10
7,0
37,203
45,361
43,395
13,515
23,551
19,552
50,586
25,667
46,705
4,732
10,778
17,821
15,869
34,886
30,902
38,930
14,973
41,1039
29,1055
31,1078
28,1114
16,1125
12,1191
8,1210
21,1283
40,1308
48,1400
18,1453
36,1463
11,1479
47,1718
27,1729
49,1744
44,1987
35,1994
20,2010
32,2254
24,2278
5,2374
3,2524
33,2560
22,2678
6,2772
9,2829
2,3066
39,3213
42,3217
26,3446
1,3612

simblock.block.ProofOfWorkBlock@2e0ad709:11
46,0
21,223
18,375
4,426
25,530
19,565
30,587
13,614
41,684
43,722
22,740
29,754
37,769
16,804
34,838
10,881
7,892
36,906
23,990
47,1037
14,1045
12,1049
38,1140
15,1145
9,1173
17,1204
45,1300
5,1419
28,1431
24,1444
8,1460
49,1469
50,1613
44,1736
48,1838
20,1884
32,2009
11,2161
1,2233
3,2283
27,2437
31,2552
35,2702
26,2934
33,2983
42,3312
39,3751
6,4141

simblock.block.ProofOfWorkBlock@14a1769d:12
37,0
34,190
43,349
16,395
19,505
29,539
50,550
22,583
41,657
25,704
45,712
18,719
10,738
12,810
30,847
23,859
8,866
14,884
13,922
7,965
17,1011
11,1082
15,1088
4,1121
38,1135
20,1151
46,1163
21,1329
28,1351
27,1388
2,1405
32,1424
48,1485
40,1530
24,1594
36,1656
49,1708
33,1865
35,1930
44,1977
9,2134
47,2200
42,2355
31,2402
3,2467
1,2795
5,2846
26,3228
6,3629
39,4071

simblock.block.ProofOfWorkBlock@47797401:13
18,0
21,187
7,340
25,372
19,496
34,526
16,550
15,561
17,653
22,678
29,687
45,705
43,726
23,819
12,847
13,860
10,878
50,973
8,1000
37,1014
20,1030
38,1093
46,1130
4,1152
14,1170
28,1181
41,1283
30,1310
47,1441
9,1548
5,1553
40,1556
31,1575
36,1816
2,1823
44,1840
35,2100
3,2111
24,2368
33,2382
32,2642
27,2652
49,2908
42,3031
26,3422
48,3572
1,3969
6,4362

simblock.block.ProofOfWorkBlock@2d459bda:14
36,0
47,284
11,471
44,736
17,758
7,823
28,937
8,948
31,1000
25,1025
37,1035
23,1100
34,1103
33,1122
38,1210
35,1211
21,1255
4,1316
3,1318
10,1383
20,1396
24,1397
9,1479
27,1524
14,1599
46,1600
19,1663
29,1677
39,1742
49,1747
32,1798
15,1885
41,1891
43,1947
42,2107
45,2172
2,2179
50,2227
40,2236
22,2458
1,2535
5,2602
12,2736
16,3019
13,3297
30,3576
18,3859
6,4167
48,4521
26,4881

simblock.block.ProofOfWorkBlock@1c421b0f:15
45,0
23,190
25,344
14,378
46,496
12,530
15,532
50,569
29,650
22,684
10,688
17,720
19,724
7,816
41,836
37,873
30,970
32,989
21,989
4,1028
28,1097
43,1127
18,1146
2,1217
38,1273
31,1276
8,1280
34,1310
13,1432
16,1467
27,1549
39,1658
33,1697
35,1734
48,1947
36,1978
40,2116
47,2260
5,2495
11,2534
3,2802
26,2878
9,3070
24,3338
20,3605
49,3871
44,4136
42,4514
1,4911
6,5304

simblock.block.ProofOfWorkBlock@79fcd194:16
13,0
41,222
25,374
18,417
8,542
43,563
37,569
50,606
29,696
34,717
46,727
19,759
12,849
22,869
10,885
17,913
7,1001
