> Task :simulator:compileJava
> Task :simulator:processResources NO-SOURCE
> Task :simulator:classes

> Task :simulator:run
simblock.block.ProofOfWorkBlock@4769b07b:0
18,0
23,48
7,65
50,81
22,100
46,101
13,113
10,129
17,129
12,131
45,148
19,149
4,151
41,163
37,177
16,183
25,212
43,229
21,231
15,233
14,243
34,259
30,278
8,309
24,392
47,438
3,464
27,490
20,496
49,520
31,546
33,574
44,595
29,603
38,618
35,791
40,825
2,838
28,874
9,1076
36,1210
48,1450
39,1643
6,1985
11,2239
32,2383
1,2655
26,3142
42,3384
5,3627

simblock.block.ProofOfWorkBlock@400cff1a:1
50,0
17,46
21,64
46,80
19,95
30,112
34,114
43,129
25,130
45,137
8,142
41,147
37,152
15,152
10,162
29,171
13,177
14,178
22,186
23,217
16,261
12,276
7,327
4,369
24,489
27,504
9,509
38,540
31,602
18,630
32,640
49,758
36,774
40,832
5,848
3,886
20,916
33,987
44,1015
35,1097
28,1145
11,1272
39,1284
47,1400
42,1654
6,2198
26,3218
48,3405
1,3744
2,5841

simblock.block.ProofOfWorkBlock@645aa696:2
44,0
35,115
11,156
20,196
31,236
33,241
49,282
3,283
28,321
24,356
47,357
19,392
36,396
27,397
32,414
38,450
37,507
14,512
12,543
13,596
29,663
9,667
15,679
6,720
22,729
43,762
17,791
40,889
8,900
41,921
16,965
34,1033
42,1135
39,1288
25,1291
21,1329
2,1338
18,1430
48,1543
30,1588
1,1596
5,1810
4,2229
23,2486
46,2924
26,4020
45,4168
50,4317
10,4466
7,4613

simblock.block.ProofOfWorkBlock@4535b6d5:3
31,0
38,159
28,275
9,315
44,392
11,395
20,442
24,482
41,528
3,552
49,556
33,588
32,604
35,609
47,635
10,677
19,678
27,678
50,680
36,687
25,705
37,712
4,806
23,816
30,915
14,940
16,945
34,957
7,1045
12,1081
17,1082
45,1092
15,1202
1,1263
29,1265
5,1287
21,1399
6,1401
18,1407
48,1588
46,1636
8,1649
42,1793
40,1939
2,2005
26,4429
43,4573
22,4766
13,4933
39,5237


0
3190

BUILD SUCCESSFUL in 18s
2 actionable tasks: 2 executed
